S/N,STATE,LGA,REGISTRATION AREA,POLLING UNIT,DELIMITATION,TOTAL
2156,JIGAWA,HADEJIA,MAJEMA,TAGURZAN YAMMA,17-13-06-007,479
2157,JIGAWA,HADEJIA,MAJEMA,UNGUWAR ALHAJI,17-13-06-008,686
2158,JIGAWA,HADEJIA,MAJEMA,UNGUWAR MA'AJI,17-13-06-009,399
2159,JIGAWA,HADEJIA,MAJEMA,TAGURZAN GABAS  II,17-13-06-010,99
2160,JIGAWA,HADEJIA,MATSARO,GAWUNA I,17-13-07-001,834
2161,JIGAWA,HADEJIA,MATSARO,GAWUNA II,17-13-07-002,1999
2162,JIGAWA,HADEJIA,MATSARO,GAWUNA/K.UWANI MAITUWO,17-13-07-003,1129
2163,JIGAWA,HADEJIA,MATSARO,MATSARO/MATSARO PRI. SCH I,17-13-07-004,1137
2164,JIGAWA,HADEJIA,MATSARO,MATSARO/MATSARO PRY SCH II,17-13-07-005,897
2165,JIGAWA,HADEJIA,MATSARO,MATSARO/MATSARO PRI. SCH III,17-13-07-006,757
2166,JIGAWA,HADEJIA,MATSARO,MATSARO/BAKIN KASUWA,17-13-07-007,1122
2167,JIGAWA,HADEJIA,MATSARO,MATSARO/MAKARA HUTA DUHU,17-13-07-008,1354
2168,JIGAWA,HADEJIA,MATSARO,MATSARO/K.DANBABA RABUKA,17-13-07-009,1106
2169,JIGAWA,HADEJIA,MATSARO,MATSARO/K.USMAN K/K,17-13-07-010,830
2170,JIGAWA,HADEJIA,MATSARO,GAWUNA III,17-13-07-011,750
2171,JIGAWA,HADEJIA,MATSARO,MAJE PRI SCH,17-13-07-012,80
2172,JIGAWA,HADEJIA,MATSARO,GAWUNA JSS I,17-13-07-013,750
2173,JIGAWA,HADEJIA,MATSARO,GAWUNA JSS II,17-13-07-014,750
2174,JIGAWA,HADEJIA,MATSARO,MAISHAADA PRI SCH,17-13-07-015,114
2175,JIGAWA,HADEJIA,MATSARO,GAWUNA/K.UWANI MAITUWO JSS II,17-13-07-016,20
2176,JIGAWA,HADEJIA,MATSARO,MATSARO PRI SCH I,17-13-07-017,46
2177,JIGAWA,HADEJIA,MATSARO,MATSARO PRI SCH II,17-13-07-018,41
2178,JIGAWA,HADEJIA,MATSARO,MATSARO BAKIN KASUWA,17-13-07-019,38
2179,JIGAWA,HADEJIA,MATSARO,K/DANBABA,17-13-07-020,24
2180,JIGAWA,HADEJIA,MATSARO,MATSARO K/DANBABA RABUKA II,17-13-07-021,54
2181,JIGAWA,HADEJIA,MATSARO,MATSARO/K.IDRIS MUSA,17-13-07-022,28
2182,JIGAWA,HADEJIA,MATSARO,GAWUNA IV,17-13-07-023,171
2183,JIGAWA,HADEJIA,MATSARO,MAISHAHADA COMMUNITY/NEW SETTL,17-13-07-024,117
2184,JIGAWA,HADEJIA,RUMFA,BADERIN GABAS,17-13-08-001,571
2185,JIGAWA,HADEJIA,RUMFA,BAYI/BAYI I.P.S,17-13-08-002,462
2186,JIGAWA,HADEJIA,RUMFA,BAYI/ KOFAR CHIROMA,17-13-08-003,652
2187,JIGAWA,HADEJIA,RUMFA,DURUMIN GAMMA,17-13-08-004,468
2188,JIGAWA,HADEJIA,RUMFA,DURUMIN GAMMA/KJOFAR GUMAJI,17-13-08-005,417
2189,JIGAWA,HADEJIA,RUMFA,KILABAKORI/HUDU I.P.S I,17-13-08-006,918
2190,JIGAWA,HADEJIA,RUMFA,KWARIN LIFIDA,17-13-08-007,637
2191,JIGAWA,HADEJIA,RUMFA,KWARIN LIFIDA/UNG. DUKAWA,17-13-08-008,423
2192,JIGAWA,HADEJIA,RUMFA,KWARIN NAGANDA,17-13-08-009,801
2193,JIGAWA,HADEJIA,RUMFA,OLD CHAMBER/COUNCIL CHAMBER,17-13-08-010,768
2194,JIGAWA,HADEJIA,RUMFA,RUMFA/CIVIL DEFENCE OFFICE,17-13-08-011,740
2195,JIGAWA,HADEJIA,RUMFA,RUMFA/ MASS EDUCATION OFFICE,17-13-08-012,429
2196,JIGAWA,HADEJIA,RUMFA,KALABAKORI/HUDU IPS II,17-13-08-013,93
2197,JIGAWA,HADEJIA,SABON GARU,CHADI I,17-13-09-001,750
2198,JIGAWA,HADEJIA,SABON GARU,GABARI I,17-13-09-002,1194
2199,JIGAWA,HADEJIA,SABON GARU,GABARI II,17-13-09-003,1085
2200,JIGAWA,HADEJIA,SABON GARU,LIBRARY/DIVISIONAL LIBRARY,17-13-09-004,750
2201,JIGAWA,HADEJIA,SABON GARU,MAGAMA HUDU/JUNCTION,17-13-09-005,677
2202,JIGAWA,HADEJIA,SABON GARU,MAKERAN GABAS/SHAGON GARBA FANTA,17-13-09-006,750
2203,JIGAWA,HADEJIA,SABON GARU,MAKERAN GABAS I,17-13-09-007,838
2204,JIGAWA,HADEJIA,SABON GARU,UNGUWAR MA'AJI/KOFAR MA'AJI IMAM I,17-13-09-008,629
2205,JIGAWA,HADEJIA,SABON GARU,UNGUWAR MA'AJI/KOFAR MA'AJI IMAM II,17-13-09-009,545
2206,JIGAWA,HADEJIA,SABON GARU,CHADI II,17-13-09-010,373
2207,JIGAWA,HADEJIA,SABON GARU,GABARI KOFAR MAIUNGUWA JAGA,17-13-09-011,375
2208,JIGAWA,HADEJIA,SABON GARU,GABARI USMAN BIN AFFAN,17-13-09-012,152
2209,JIGAWA,HADEJIA,SABON GARU,MAKERAN GABAS II,17-13-09-013,79
2210,JIGAWA,HADEJIA,YANKOLI,AGUYAKA,17-13-10-001,232
2211,JIGAWA,HADEJIA,YANKOLI,DALLA/ABDULKADIR PRI. SCH.  I,17-13-10-002,615
2212,JIGAWA,HADEJIA,YANKOLI,DALLA/ABDULKADIR PRI. SCH.  II,17-13-10-003,324
2213,JIGAWA,HADEJIA,YANKOLI,FANTAI G.S.S/G.S.S FANATAI,17-13-10-004,760
2214,JIGAWA,HADEJIA,YANKOLI,FANTAI QTRS./KOFAR LABARAN,17-13-10-005,713
2215,JIGAWA,HADEJIA,YANKOLI,GARIN UREMA,17-13-10-006,359
2216,JIGAWA,HADEJIA,YANKOLI,GUDICHIN,17-13-10-007,330
2217,JIGAWA,HADEJIA,YANKOLI,YANKOLI C.A HOSTEL/C.A HOSTEL I,17-13-10-008,693
2218,JIGAWA,HADEJIA,YANKOLI,YANKOLI C.A. HOSTEL II,17-13-10-009,587
2219,JIGAWA,HADEJIA,YANKOLI,YANKOLI/RIJIYAR YANKOLI,17-13-10-010,692
2220,JIGAWA,HADEJIA,YAYARI,ANKUN GABAS/MADAKA,17-13-11-001,868
2221,JIGAWA,HADEJIA,YAYARI,ANKUN YAMMA,17-13-11-002,584
2222,JIGAWA,HADEJIA,YAYARI,KUBURU/KANTIN DANFULANI,17-13-11-003,749
2223,JIGAWA,HADEJIA,YAYARI,TUDUN WADA I,17-13-11-004,798
2224,JIGAWA,HADEJIA,YAYARI,TUDUN WADA II,17-13-11-005,771
2225,JIGAWA,HADEJIA,YAYARI,UNGUWAR MAKAFI,17-13-11-006,797
2226,JIGAWA,HADEJIA,YAYARI,UNGUWAR M.YAHAYA /UNG. GOJE,17-13-11-007,482
2227,JIGAWA,HADEJIA,YAYARI,YAYARI/HARUNA PRI. SCH  I,17-13-11-008,750
2228,JIGAWA,HADEJIA,YAYARI,YAYARI/HARUNA PRI. SCH  II,17-13-11-009,881
2229,JIGAWA,HADEJIA,YAYARI,HARUNA JSS,17-13-11-010,559
2230,JIGAWA,HADEJIA,YAYARI,HARUNA PRI SCH II,17-13-11-011,136
2231,JIGAWA,JAHUN,AUJARA,GARKA/CHIROMAWA/GARKA/CHIROMAWA,17-14-01-001,521
2232,JIGAWA,JAHUN,AUJARA,ALKALAWA/ALKALAWA,17-14-01-002,905
2233,JIGAWA,JAHUN,AUJARA,KADIRAWA/KADIRAWA  I,17-14-01-003,1177
2234,JIGAWA,JAHUN,AUJARA,FATUMAWA/FATUMAWA,17-14-01-004,647
2235,JIGAWA,JAHUN,AUJARA,MAKERA/MAHAUTA/MAKERA/MAHAUTA,17-14-01-005,630
2236,JIGAWA,JAHUN,AUJARA,MAHAUTA/MAHAUTA,17-14-01-006,750
2237,JIGAWA,JAHUN,AUJARA,MAKERA/MAKERA  I,17-14-01-007,662
2238,JIGAWA,JAHUN,AUJARA,MAKERA/MAKERA  II,17-14-01-008,533
2239,JIGAWA,JAHUN,AUJARA,DOGON JEJI/DOGON JEJI,17-14-01-009,319
2240,JIGAWA,JAHUN,AUJARA,KADIRAWA/KADIRAWA,17-14-01-010,724
2241,JIGAWA,JAHUN,AUJARA,GABARI/C. GARI /GABARI C/GARI,17-14-01-011,720
2242,JIGAWA,JAHUN,AUJARA,GADEWA,17-14-01-012,595
2243,JIGAWA,JAHUN,AUJARA,GIDAN BANGWARO,17-14-01-013,209
2244,JIGAWA,JAHUN,AUJARA,KADAU KUKAKWANCE,17-14-01-014,698
2245,JIGAWA,JAHUN,AUJARA,TUKUYAWA C/GARI,17-14-01-015,534
2246,JIGAWA,JAHUN,AUJARA,GURJIN MADAKI,17-14-01-016,227
2247,JIGAWA,JAHUN,AUJARA,BAGAMARU,17-14-01-017,664
2248,JIGAWA,JAHUN,AUJARA,DANBARAMA,17-14-01-018,742
2249,JIGAWA,JAHUN,AUJARA,KWADAGE,17-14-01-019,289
2250,JIGAWA,JAHUN,AUJARA,GARAN UNGUWAR YAMMA,17-14-01-020,547
2251,JIGAWA,JAHUN,AUJARA,DUNGUN GARAN,17-14-01-021,721
2252,JIGAWA,JAHUN,AUJARA,KOYA YAMMACI,17-14-01-022,472
2253,JIGAWA,JAHUN,AUJARA,DAMATUWA,17-14-01-023,818
2254,JIGAWA,JAHUN,AUJARA,GABASHI/KAWARI,17-14-01-024,516
2255,JIGAWA,JAHUN,AUJARA,AUJARA SPECIAL P.S,17-14-01-025,59
2256,JIGAWA,JAHUN,AUJARA,AUJARA SPECIAL P.S,17-14-01-026,414
2257,JIGAWA,JAHUN,AUJARA,MODEL PRI SCH AUJARA,17-14-01-027,49
2258,JIGAWA,JAHUN,GANGAWA,GANGAWA C/GARI/GANGAWA C./GARI I,17-14-02-001,442
2259,JIGAWA,JAHUN,GANGAWA,GANGAWA C/GARI/GANGAWA C/GARI II,17-14-02-002,805
2260,JIGAWA,JAHUN,GANGAWA,ALBASU / ALBASU  I,17-14-02-003,619
2261,JIGAWA,JAHUN,GANGAWA,KURORI/KURORI,17-14-02-004,503
2262,JIGAWA,JAHUN,GANGAWA,GORIMO/GORIMO,17-14-02-005,311
2263,JIGAWA,JAHUN,GANGAWA,NAHUCHE,17-14-02-006,636
2264,JIGAWA,JAHUN,GANGAWA,"GIDAN LAYA, GIDAN LAYA",17-14-02-007,418
2265,JIGAWA,JAHUN,GANGAWA,ZANGO REGU/ZANGON REGU,17-14-02-008,484
2266,JIGAWA,JAHUN,GANGAWA,KADIRAWA/KADIRAWA  I,17-14-02-009,219
2267,JIGAWA,JAHUN,GANGAWA,KADIRAWA/KADIRAWA  II,17-14-02-010,364
2268,JIGAWA,JAHUN,GANGAWA,AFUNFUNA /AFUNFUNA C./GARI,17-14-02-011,628
2269,JIGAWA,JAHUN,GANGAWA,KADAWAWA C/KADAWA C./GARI  I,17-14-02-012,830
2270,JIGAWA,JAHUN,GANGAWA,KUNNAYI/KUNNAYI,17-14-02-013,216
2271,JIGAWA,JAHUN,GANGAWA,CHAMBAYI/CHAMBAYI C./GARI,17-14-02-014,474
2272,JIGAWA,JAHUN,GANGAWA,FARFADA/FARFADA,17-14-02-015,630
2273,JIGAWA,JAHUN,GANGAWA,KIBAWA C./GARI  KIBAWA C./GARI,17-14-02-016,433
2274,JIGAWA,JAHUN,GANGAWA,ASKAWA/ASKAWA,17-14-02-017,191
2275,JIGAWA,JAHUN,GANGAWA,JSS KADOWAWA,17-14-02-018,83
2276,JIGAWA,JAHUN,GANGAWA,HEALTH CENTER GANGAWA,17-14-02-019,58
2277,JIGAWA,JAHUN,GAUZA TAZARA,GAUZA C./GARI   GAUZA C./GARI,17-14-03-001,437
2278,JIGAWA,JAHUN,GAUZA TAZARA,TAZARA,17-14-03-002,999
2279,JIGAWA,JAHUN,GAUZA TAZARA,MATANDA/MATANDA,17-14-03-003,246
2280,JIGAWA,JAHUN,GAUZA TAZARA,BABANCHA/BABANCHA,17-14-03-004,383
2281,JIGAWA,JAHUN,GAUZA TAZARA,FAGWALAYI/FAGALAYI C./GARI,17-14-03-005,249
2282,JIGAWA,JAHUN,GAUZA TAZARA,JALGA/JALGA  I,17-14-03-006,606
2283,JIGAWA,JAHUN,GAUZA TAZARA,MAKERA/MAKERA,17-14-03-007,638
2284,JIGAWA,JAHUN,GAUZA TAZARA,TUNFUNSA,17-14-03-008,299
2285,JIGAWA,JAHUN,GAUZA TAZARA,GARAGANAKI/GARA GANAKI,17-14-03-009,339
2286,JIGAWA,JAHUN,GAUZA TAZARA,KAFIN BAKA C./GARI  KAFIN BAKA C./GARI  I,17-14-03-010,514
2287,JIGAWA,JAHUN,GAUZA TAZARA,ZANGON GIZAN/ZANGON GIZAN,17-14-03-011,670
2288,JIGAWA,JAHUN,GAUZA TAZARA,KULAWA/KULAWA  I,17-14-03-012,353
2289,JIGAWA,JAHUN,GAUZA TAZARA,KADOMA C./GARI  KADOMA C./GARI,17-14-03-013,462
2290,JIGAWA,JAHUN,GAUZA TAZARA,KAGUL/KAGUL,17-14-03-014,459
2291,JIGAWA,JAHUN,GAUZA TAZARA,CHAMBE C./GARI  CHAMBE C./GARI,17-14-03-015,335
2292,JIGAWA,JAHUN,GAUZA TAZARA,LAUTAI/LAUTAI,17-14-03-016,420
2293,JIGAWA,JAHUN,GAUZA TAZARA,MAJIRGA/MAJIRGA,17-14-03-017,177
2294,JIGAWA,JAHUN,GAUZA TAZARA,HEALTH CENTER TAZARA,17-14-03-018,76
2295,JIGAWA,JAHUN,GUNKA,UNGUWAR. MADAKI I,17-14-04-001,714
2296,JIGAWA,JAHUN,GUNKA,UNG. GALADIMA/UNG. GALADIMA  I,17-14-04-002,584
2297,JIGAWA,JAHUN,GUNKA,UNG. GALADIMA/UNG. GALADIMA  II,17-14-04-003,412
2298,JIGAWA,JAHUN,GUNKA,UNGUWAR MADAKI II,17-14-04-004,697
2299,JIGAWA,JAHUN,GUNKA,GALADIMA/GALADIMA,17-14-04-005,609
2300,JIGAWA,JAHUN,GUNKA,NAHUCE/NAHUCE,17-14-04-006,391
2301,JIGAWA,JAHUN,GUNKA,YANLEMAN,17-14-04-007,722
2302,JIGAWA,JAHUN,GUNKA,UNG. GALADIMA/UNG. GALADIMA,17-14-04-008,323
2303,JIGAWA,JAHUN,GUNKA,GIDAN GONA CIKIN GARI/G/GONO GARI,17-14-04-009,390
2304,JIGAWA,JAHUN,GUNKA,TANTSAR/TANTSAR,17-14-04-010,260
2305,JIGAWA,JAHUN,GUNKA,MAIMAKO/MAIMAKO,17-14-04-011,482
2306,JIGAWA,JAHUN,GUNKA,TSURUTAWA,17-14-04-012,281
2307,JIGAWA,JAHUN,GUNKA,DARAI CIKIN GARI/DARAI CIKIN GARI  I,17-14-04-013,601
2308,JIGAWA,JAHUN,GUNKA,DARAICIKIN GARI/DARAI C/GARI,17-14-04-014,660
2309,JIGAWA,JAHUN,GUNKA,JAMAA/JATA/TANTSAR/JAMAA/JATA/TANTSAR,17-14-04-015,445
2310,JIGAWA,JAHUN,GUNKA,GIDAN DUMA,17-14-04-016,414
2311,JIGAWA,JAHUN,GUNKA,MAKURDA,17-14-04-017,381
2312,JIGAWA,JAHUN,GUNKA,TAKAI,17-14-04-018,311
2313,JIGAWA,JAHUN,GUNKA,DORO CIKIN GARI/DORO CIKIN GARI  I,17-14-04-019,718
2314,JIGAWA,JAHUN,GUNKA,ZANGON KANYA/ZANGON KANYA,17-14-04-020,277
2315,JIGAWA,JAHUN,GUNKA,KARGO CIKIN GARI/KARGO CIKIN GARI,17-14-04-021,462
2316,JIGAWA,JAHUN,GUNKA,KAWARIN MALAM/KWARIN MALAM,17-14-04-022,522
2317,JIGAWA,JAHUN,GUNKA,RAMANU/RAMANU,17-14-04-023,528
2318,JIGAWA,JAHUN,HARBO SABUWA,HARBO SABUWA UNGUWAR YAMMA I,17-14-05-001,912
2319,JIGAWA,JAHUN,HARBO SABUWA,H.SABUWA UNG. GABAS/H.SABUWA I,17-14-05-002,713
2320,JIGAWA,JAHUN,HARBO SABUWA,"H.SABUWA DUJA, DUJA I",17-14-05-003,365
2321,JIGAWA,JAHUN,HARBO SABUWA,"H/SABUWA DUJA, DUJA II",17-14-05-004,317
2322,JIGAWA,JAHUN,HARBO SABUWA,"H.SABUWA C./GARI, H.SABUWA C./GARI  I",17-14-05-005,762
2323,JIGAWA,JAHUN,HARBO SABUWA,H.SABUWA ASAYYA,17-14-05-006,393
2324,JIGAWA,JAHUN,HARBO SABUWA,DUJA III / DAJA III,17-14-05-007,253
2325,JIGAWA,JAHUN,HARBO SABUWA,HARBO SABUWA UNGUWAR YAMMA II,17-14-05-008,824
2326,JIGAWA,JAHUN,HARBO SABUWA,HARBO SABUWA UNGUWAR GABAS I,17-14-05-009,721
2327,JIGAWA,JAHUN,HARBO SABUWA,HARBO.SABUWA UNGUWAR GABAS II,17-14-05-010,487
2328,JIGAWA,JAHUN,HARBO SABUWA,DINA C./GARI  DINA C./GARI,17-14-05-011,414
2329,JIGAWA,JAHUN,HARBO SABUWA,TARAYA/TARAYA  I,17-14-05-012,792
2330,JIGAWA,JAHUN,HARBO SABUWA,TARAYA/TARAYA II,17-14-05-013,375
2331,JIGAWA,JAHUN,HARBO SABUWA,FADI/FADI,17-14-05-014,318
2332,JIGAWA,JAHUN,HARBO SABUWA,KAMAI/KAMAI,17-14-05-015,160
2333,JIGAWA,JAHUN,HARBO SABUWA,ATUMAN C./GARI ATUMAN,17-14-05-016,799
2334,JIGAWA,JAHUN,HARBO SABUWA,ZARGA,17-14-05-017,306
2335,JIGAWA,JAHUN,HARBO SABUWA,KULLURU,17-14-05-018,651
2336,JIGAWA,JAHUN,HARBO SABUWA,ZANGON GALADIMA,17-14-05-019,286
2337,JIGAWA,JAHUN,HARBO SABUWA,KANOKE/GURJIYA  K/NOKE/GURJIYA  I,17-14-05-020,589
2338,JIGAWA,JAHUN,HARBO SABUWA,HARBO SABUWA CENT. PS.,17-14-05-021,61
2339,JIGAWA,JAHUN,HARBO SABUWA,GIDAN RUWA C/GARI,17-14-05-022,70
2340,JIGAWA,JAHUN,HARBO TSOHUWA,HARBO TSOHUWA C./GARI I,17-14-06-001,750
2341,JIGAWA,JAHUN,HARBO TSOHUWA,HARBO TSOHUWA C./GARI  II,17-14-06-002,1268
2342,JIGAWA,JAHUN,HARBO TSOHUWA,YANKUNAMA,17-14-06-003,715
2343,JIGAWA,JAHUN,HARBO TSOHUWA,DIGAWA MAI YADIYA,17-14-06-004,313
2344,JIGAWA,JAHUN,HARBO TSOHUWA,BUDUMAI/BUDUMAI,17-14-06-005,324
2345,JIGAWA,JAHUN,HARBO TSOHUWA,KAWARI/KAWARI,17-14-06-006,566
2346,JIGAWA,JAHUN,HARBO TSOHUWA,YANSABO/YANSABO,17-14-06-007,849
2347,JIGAWA,JAHUN,HARBO TSOHUWA,GARADO C/GARI  GARADO C/GARI  I,17-14-06-008,954
2348,JIGAWA,JAHUN,HARBO TSOHUWA,GARADO C/GARI/GARADO C/GARI II,17-14-06-009,461
2349,JIGAWA,JAHUN,HARBO TSOHUWA,AKENA,17-14-06-010,243
2350,JIGAWA,JAHUN,HARBO TSOHUWA,NAHUCHE,17-14-06-011,768
2351,JIGAWA,JAHUN,HARBO TSOHUWA,GAIDA,17-14-06-012,293
2352,JIGAWA,JAHUN,HARBO TSOHUWA,ISLAMIYYA P.S K/KUDU,17-14-06-013,47
2353,JIGAWA,JAHUN,HARBO TSOHUWA,MADARASATUL TARBIYATUL ADFAL ISLAMIYYA,17-14-06-014,164
2354,JIGAWA,JAHUN,HARBO TSOHUWA,GARADO HEALTH CENTER,17-14-06-015,0
2355,JIGAWA,JAHUN,HARBO TSOHUWA,GIDAN GANJI,17-14-06-016,0
2356,JIGAWA,JAHUN,IDANDUNA,IDANDUNA C./GARI  IDANDUNA C./GARI,17-14-07-001,1025
2357,JIGAWA,JAHUN,IDANDUNA,IDANDUNA SADIKAWA,17-14-07-002,485
2358,JIGAWA,JAHUN,IDANDUNA,IDANDUNA DINZAI,17-14-07-003,247
2359,JIGAWA,JAHUN,IDANDUNA,RINDE C/GARI/RINDE C/GARI I,17-14-07-004,635
2360,JIGAWA,JAHUN,IDANDUNA,RINDE C./GARI  RINDE C/GARI II,17-14-07-005,473
2361,JIGAWA,JAHUN,IDANDUNA,LIKINDI,17-14-07-006,504
2362,JIGAWA,JAHUN,IDANDUNA,TSALLIYA,17-14-07-007,672
2363,JIGAWA,JAHUN,IDANDUNA,ACHAU C/GARI I,17-14-07-008,730
2364,JIGAWA,JAHUN,IDANDUNA,ACHAU BARNOJI,17-14-07-009,286
2365,JIGAWA,JAHUN,IDANDUNA,ACHAU C/GARI II,17-14-07-010,596
2366,JIGAWA,JAHUN,IDANDUNA,GWAMPAI C./GARI   GWAMPAI C./GARI,17-14-07-011,750
2367,JIGAWA,JAHUN,IDANDUNA,ABIRAKYAU,17-14-07-012,434
2368,JIGAWA,JAHUN,IDANDUNA,GALADIMA JIBO,17-14-07-013,732
2369,JIGAWA,JAHUN,IDANDUNA,JSS IDANDUNA,17-14-07-014,40
2370,JIGAWA,JAHUN,IDANDUNA,JSS GAMPAI,17-14-07-015,433
2371,JIGAWA,JAHUN,JABARNA,JABARNA HATSIN KAWONI/HATSIN KAWONI,17-14-08-001,899
2372,JIGAWA,JAHUN,JABARNA,JABARNA C./GARI  JABARNA C./GARI,17-14-08-002,863
2373,JIGAWA,JAHUN,JABARNA,JABARNA AFASHA/JABARNA AFASHA,17-14-08-003,428
2374,JIGAWA,JAHUN,JABARNA,JABARNA KADIRAWA/KADIRAWA,17-14-08-004,343
2375,JIGAWA,JAHUN,JABARNA,JABARNA KARGO / KARGO,17-14-08-005,348
2376,JIGAWA,JAHUN,JABARNA,JABARNA ZARGAWA/ZARGAWA,17-14-08-006,278
2377,JIGAWA,JAHUN,JABARNA,MAGAMA GIDAN JEJI/ GIDAN JEJI,17-14-08-007,354
2378,JIGAWA,JAHUN,JABARNA,MAGAMA BAKAIRI/BAKAIRI,17-14-08-008,452
2379,JIGAWA,JAHUN,JABARNA,MAGAMA C/GARI  MAGAMA C/GARI  I,17-14-08-009,578
2380,JIGAWA,JAHUN,JABARNA,MAGAMA C/GARI/MAGAMA C/GARI II,17-14-08-010,548
2381,JIGAWA,JAHUN,JABARNA,MAGAMA BAKAIRI/JARKUKA  BAKAIRI/JARKUKA,17-14-08-011,519
2382,JIGAWA,JAHUN,JABARNA,LARABAWA  C./GARI  LARABAWA  C./GARI,17-14-08-012,222
2383,JIGAWA,JAHUN,JABARNA,LARABAWA KULLURU/KULLURU,17-14-08-013,613
2384,JIGAWA,JAHUN,JABARNA,LARABAWA GORA/GORA,17-14-08-014,222
2385,JIGAWA,JAHUN,JABARNA,BASIC HEALTH CEN JABARNA,17-14-08-015,48
2386,JIGAWA,JAHUN,JABARNA,HATSIN KAWONI,17-14-08-016,75
2387,JIGAWA,JAHUN,JAHUN,WOMEN CENTER  I,17-14-09-001,608
2388,JIGAWA,JAHUN,JAHUN,UNGUWAR SULE I,17-14-09-002,786
2389,JIGAWA,JAHUN,JAHUN,WOMEN CENTER II,17-14-09-003,837
2390,JIGAWA,JAHUN,JAHUN,JAHUN S.P PRI. SCH. I,17-14-09-004,813
2391,JIGAWA,JAHUN,JAHUN,WOMEN CENTER III,17-14-09-005,599
2392,JIGAWA,JAHUN,JAHUN,JAHUN S.P PRI. SCH. II,17-14-09-006,750
2393,JIGAWA,JAHUN,JAHUN,JAHUN S.P PRI. SCH. III,17-14-09-007,750
2394,JIGAWA,JAHUN,JAHUN,UNGUWAR SULE II,17-14-09-008,615
2395,JIGAWA,JAHUN,JAHUN,GABAS PRI. SCH. GABAS I,17-14-09-009,1128
2396,JIGAWA,JAHUN,JAHUN,GABAS PRI. SCH. GABAS II,17-14-09-010,713
2397,JIGAWA,JAHUN,JAHUN,GABAS PRI. SCH. GABAS III,17-14-09-011,860
2398,JIGAWA,JAHUN,JAHUN,TSIGI I,17-14-09-012,750
2399,JIGAWA,JAHUN,JAHUN,KOFAR FADA/KOFAR FADA  I,17-14-09-013,833
2400,JIGAWA,JAHUN,JAHUN,TSIGI II,17-14-09-014,682
2401,JIGAWA,JAHUN,JAHUN,KOFAR FADA II,17-14-09-015,690
2402,JIGAWA,JAHUN,JAHUN,KOFAR GABAS/KOFAR GABAS I,17-14-09-016,884
2403,JIGAWA,JAHUN,JAHUN,KOFAR GABAS/KOFAR GABAS II,17-14-09-017,759
2404,JIGAWA,JAHUN,JAHUN,TSIGI III,17-14-09-018,893
2405,JIGAWA,JAHUN,JAHUN,YARJIGAWA CIKIN GARI I,17-14-09-019,821
2406,JIGAWA,JAHUN,JAHUN,KWANJAMAWA C./GARI KWANJAMAWA I,17-14-09-020,879
2407,JIGAWA,JAHUN,JAHUN,WURMAWA,17-14-09-021,724
2408,JIGAWA,JAHUN,JAHUN,KULLERAN,17-14-09-022,370
2409,JIGAWA,JAHUN,JAHUN,DOGAWA C./GARI DOGAWA C./GARI,17-14-09-023,335
2410,JIGAWA,JAHUN,JAHUN,ZAGAU,17-14-09-024,405
2411,JIGAWA,JAHUN,JAHUN,RUWAN DAWA/RUWAN DAWA,17-14-09-025,639
2412,JIGAWA,JAHUN,JAHUN,BAKIN KASUWA,17-14-09-026,750
2413,JIGAWA,JAHUN,JAHUN,YAR JIGAWA,17-14-09-027,157
2414,JIGAWA,JAHUN,JAHUN,FANISAU,17-14-09-028,268
2415,JIGAWA,JAHUN,JAHUN,JARDA STORE,17-14-09-029,378
2416,JIGAWA,JAHUN,JAHUN,KOTUKANTUDU,17-14-09-030,195
2417,JIGAWA,JAHUN,JAHUN,NANA AISHA SEC SCH,17-14-09-031,329
2418,JIGAWA,JAHUN,JAHUN,GABAS P.S IV.,17-14-09-032,77
2419,JIGAWA,JAHUN,JAHUN,G.G. SCIENCE SEC. SCH,17-14-09-033,58
2420,JIGAWA,JAHUN,JAHUN,MA'AHAD ISLAMIYYA MAHAUTA,17-14-09-034,193
2421,JIGAWA,JAHUN,JAHUN,ARABIC JSS,17-14-09-035,668
2422,JIGAWA,JAHUN,JAHUN,ARABIC JSS,17-14-09-036,72
2423,JIGAWA,JAHUN,JAHUN,JAHUN PILOT PS,17-14-09-037,288
2424,JIGAWA,JAHUN,JAHUN,KOFAR DARO,17-14-09-038,750
2425,JIGAWA,JAHUN,JAHUN,ISLAMIYYA YOLA,17-14-09-039,523
2426,JIGAWA,JAHUN,JAHUN,ISLAMIYYA B/KASUWA,17-14-09-040,607
2427,JIGAWA,JAHUN,JAHUN,LIBRARY,17-14-09-041,604
2428,JIGAWA,JAHUN,KALE,KALE CIKIN GARI/KALE CIKIN GARI I,17-14-10-001,880
2429,JIGAWA,JAHUN,KALE,MAKAMA,17-14-10-002,294
2430,JIGAWA,JAHUN,KALE,GIDAN SAKIN NOMA/GIDAN SARKIN NOMA,17-14-10-003,516
2431,JIGAWA,JAHUN,KALE,KALE UNG. MADAKI/KALE UNG. MADAKI  I,17-14-10-004,407
2432,JIGAWA,JAHUN,KALE,BURAGURI I,17-14-10-005,584
2433,JIGAWA,JAHUN,KALE,MALAM GWAJA/MALAM GWAJA,17-14-10-006,263
2434,JIGAWA,JAHUN,KALE,CHIROMAWA/CHIROMAWA I,17-14-10-007,532
2435,JIGAWA,JAHUN,KALE,GIDAN  GANJI/GIDAN GANJI,17-14-10-008,381
